Expt'l Mr (Da)	I	RT
21849.816	8112	32
21728.8223	8085	28
25952.2922	8083	25.5
21893.9107	8079	34
16498.6293	8054	42
33037.2369	8034	41.5
26064.2759	8033	26
25836.3882	8023	34
13952.7928	8006	31
13765.5212	7986	33
21828.9337	7960	42.5
30931.7685	7957	27.5
27948.6934	7913	37
25904.4858	7881	41
25808.3482	7878	26
18725.3398	7854	38
20209.4268	7819	31
20403.1435	7819	36
24545.5663	7803	34
21897.8874	7779	34.5
17302.0392	7770	33
25951.2927	7769	26
25865.3191	7753	25.5
33186.9354	7733	34.5
18732.3383	7732	38.5
20150.6136	7712	27.5
20748.9098	7687	23.5
15718.7653	7668	25.5
24237.3668	7665	26
30872.7889	7657	27.5
32872.6461	7645	31.5
21331.8139	7633	22.5
24017.7567	7624	30.5
10913.9828	7619	35.5
30970.7561	7603	27.5
32791.6707	7566	32.5
23719.4682	7565	26
7277.0118	7549	35
7276.3503	7523	35
35686.1348	7507	28.5
16405.8516	7503	31.5
20170.4352	7502	31
20878.4183	7490	35.5
35934.0148	7456	28.5
18824.2975	7435	38
20715.3578	7422	36
13238.0141	7402	14
25903.9961	7402	41
13803.5306	7392	32
9195.2463	7391	34
28415.4917	7382	32.5
24364.4051	7378	25
9272.9991	7359	11
25904.4921	7348	41.5
35960.0201	7347	28.5
10914.4886	7325	35.5
17084.8843	7322	33.5
16405.3482	7315	31.5
16940.1483	7281	26.5
15333.5264	7279	36.5
21966.8685	7276	34.5
10910.2381	7272	32
32997.2488	7257	43
17224.7012	7232	36.5
25904.0029	7232	41.5
20903.8423	7206	23
34874.0581	7205	43.5
15383.5615	7196	35.5
34965.5568	7193	38.5
6998.9433	7144	31
18490.4952	7125	34.5
11332.216	7110	41.5
17145.6506	7102	31
20612.1535	7078	34
32836.6877	7064	32.5
21910.1072	7060	29.5
6998.4468	7055	31
35882.171	7048	41
9195.743	7036	34
5878.1011	7033	16.5
34965.5521	6998	38
20921.8379	6962	22
11402.3717	6953	31.5
32712.7067	6949	32.5
18813.2825	6914	37.5
21939.8686	6912	34.5
18330.9747	6906	21
24726.5321	6893	36
34479.4135	6889	25.5
21938.8675	6828	35
35981.0145	6827	28
8635.7917	6825	26
9411.8844	6823	19.5
21860.9333	6816	33.5
17117.699	6797	36
21102.7929	6792	22
15045.3964	6775	32
11992.4012	6769	30.5
21964.8685	6757	35
8636.1363	6754	26
17250.6813	6754	36.5
22389.9744	6718	24
26005.2717	6706	25.5
21814.9382	6703	35.5
9254.0039	6698	11
26005.276	6671	26
10910.5843	6662	32
14059.8488	6659	31
15318.5114	6650	36.5
25842.3372	6632	25
11979.4713	6624	17.5
18799.2908	6610	38
32809.6773	6608	33
21022.8194	6584	22
18434.4457	6582	34
41863.8615	6558	40
13880.5061	6525	32
21875.919	6502	35.5
35606.1746	6487	28
29740.2313	6481	24.5
15361.5259	6468	36.5
22446.5221	6466	29
25922.3001	6444	24.5
23533.9606	6438	37
11366.3858	6388	31.5
21848.9437	6365	36
16498.128	6354	42
18779.3118	6332	38
10904.971	6320	34.5
32237.7003	6316	42
20905.3925	6296	36
34479.4	6292	25
32240.7062	6283	43
